id	ior	uor	equipe
2565	1	101	289788
1616	1	114	114
1585	1	114	289804
890	1	174	174
2611	1	174	289825
3734	1	232	232
2347	1	291	291
174	1	291	289865
3757	1	321	321
3697	1	321	289869
3716	1	342	342
215	1	365	365
2237	1	365	289900
1813	1	378	378
3708	1	395	395
1108	1	528	528
3592	1	551	551
356	1	566	566
2468	1	566	290001
3950	1	566	290003
1298	1	580	580
1828	1	615	290059
1134	1	624	624
1634	1	624	290068
313	1	643	290081
1084	1	697	697
1208	1	697	290124
2318	1	697	290127
2181	1	697	290133
2332	1	697	290134
3970	1	744	759
1809	1	744	290156
3142	1	744	290162
2403	1	760	760
2114	1	760	290168
848	1	760	290173
147	1	794	794
1069	1	814	814
2228	1	814	290210
2227	1	814	290211
891	1	844	844
1991	1	844	290219
875	1	844	290224
1561	1	844	290230
3942	1	877	290243
1113	1	877	290245
2982	1	877	290246
2941	1	882	882
3496	1	917	290266
3104	1	917	290272
3013	1	917	290274
1508	1	930	930
1541	1	930	954
3538	1	930	290277
694	1	957	957
2687	1	959	959
2428	1	959	290289
1424	1	999	999
3802	1	999	290320
2705	1	999	290323
2514	1	999	290325
1397	1	999	290329
483	1	999	290330
3435	1	1033	1033
618	1	1033	290353
3375	1	1033	290358
3037	1	1053	1053
476	1	1055	1055
847	1	1055	290374
440	1	1055	327985
460	1	1077	1077
1097	1	1077	327954
3019	1	1104	290423
1136	1	1123	1123
502	1	1137	1137
2266	1	1145	1145
1624	1	1149	327883
3210	1	1158	1158
711	1	1158	327946
2794	1	1162	1162
2427	1	1177	290509
2916	1	1182	1182
825	1	1182	1198
1524	1	1200	1200
1562	1	1200	290526
203	1	1221	1221
1525	1	1221	290536
1699	1	1258	290549
1684	1	1279	290562
3311	1	1282	1282
3081	1	1282	290571
3439	1	1287	290580
1360	1	1289	1289
1172	1	1289	290587
3270	1	1305	290610
1350	1	1313	1313
279	1	1321	290634
3285	1	1321	290639
2991	1	1321	290641
652	1	1330	290660
1188	1	1343	1343
1180	1	1343	327953
1745	1	1360	1360
3083	1	1411	1411
3941	1	1444	1444
1735	1	1444	290725
2128	1	1455	1455
3004	1	1483	290770
1223	1	1483	290772
1513	1	1496	290777
3414	1	1505	1505
1931	1	1514	290801
3023	1	1525	1525
3921	1	1533	1533
3451	1	1533	290825
3528	1	1533	290826
3764	1	1547	1547
1476	1	1552	1552
2039	1	1552	290842
3204	1	1564	290854
2872	1	1564	290856
964	1	1590	1590
1685	1	1590	290873
2245	1	1593	290883
3539	1	1607	1607
1943	1	1626	1626
729	1	1632	1632
3531	1	1632	290929
2802	1	1648	1648
3625	1	1655	1655
2340	1	1658	1658
1957	1	1658	290962
3690	1	1658	290963
2516	1	1686	290973
1614	1	1686	290976
1374	1	1696	1696
2193	1	1700	1700
3732	1	1700	290999
2033	1	1712	1712
1004	1	1714	1714
3242	1	1716	1716
34	1	1730	1730
1372	1	1734	1734
238	1	1734	291040
2796	1	1736	1736
436	1	1739	1739
1787	1	1739	1760
562	1	1739	291061
3799	1	1776	1776
1101	1	1787	291106
1195	1	1787	291107
1206	1	1787	291111
3828	1	1799	1799
1975	1	1799	291123
445	1	1809	1809
2589	1	1809	291135
2083	1	1809	291136
3784	1	1809	291141
2561	1	1809	291144
2249	1	1820	291150
2620	1	1827	1827
3338	1	1827	291158
3398	1	1830	1830
3065	1	1840	1840
3468	1	1846	291194
1642	1	1853	291206
930	1	1864	291220
3781	1	1864	291221
2666	1	1864	291223
2629	1	1884	1884
3215	1	1896	1896
3231	1	1898	1898
1968	1	1898	291245
2072	1	1898	291250
1867	1	1898	291252
1058	1	1908	1908
1092	1	1908	291260
1401	1	1908	291261
1461	1	1908	291262
3571	1	1926	291282
3851	1	1940	1940
969	1	1940	291292
3087	1	1948	1948
898	1	1948	1953
255	1	1954	1954
1652	1	1956	1956
1423	1	1956	291316
659	1	1973	1973
796	1	1973	291350
137	1	1973	291353
2678	1	1991	1991
3046	1	2001	2001
3715	1	2001	291372
1451	1	2001	291374
2011	1	2014	2014
3579	1	2031	291414
2270	1	2050	291438
1065	1	2056	327876
619	1	2069	2069
2592	1	2072	2072
1135	1	2075	291480
651	1	2095	2095
3220	1	2100	2100
219	1	2100	291501
1452	1	2110	2110
806	1	2110	291511
783	1	2125	2125
3932	1	2148	2148
3703	1	2148	291542
1248	1	2167	291553
1261	1	2176	2176
3096	1	2184	2184
1766	1	2184	2194
401	1	2254	2254
3106	1	2282	2282
1850	1	2289	2289
631	1	2289	291681
1682	1	2289	291683
347	1	2289	291688
2474	1	2297	2297
3334	1	2297	291696
3920	1	2303	2303
2282	1	2318	2318
992	1	2332	2332
2259	1	2339	2339
2286	1	2339	291742
3094	1	2357	291767
2560	1	2357	291769
234	1	2362	2362
2827	1	2366	2366
524	1	2386	2386
3366	1	2388	291819
2647	1	2406	291840
1025	1	2423	2423
1106	1	2430	291872
229	1	2442	2442
426	1	2452	2452
3572	1	2469	2469
